Time(minutes),Speed(MPH)
8.849,50.33107
8.854,50.33107
8.859,50.33107
8.864,51.57381
8.869,51.57381
8.874,50.95244
8.878,50.95244
8.883,50.33107
8.888,51.57381
8.894,51.57381
8.898,50.95244
8.903,50.95244
8.908,51.57381
8.913,52.19518
8.918,52.19518
8.923,52.19518
8.928,52.19518
8.932,52.19518
8.937,53.43792
8.942,53.43792
8.947,52.81655
8.951,52.19518
8.956,52.19518
8.961,53.43792
8.966,52.81655
8.971,52.81655
8.976,52.19518
8.981,52.19518
8.985,53.43792
8.991,54.05929
8.996,54.05929
9.001,52.81655
9.005,52.81655
9.01,53.43792
9.015,52.81655
9.02,52.81655
9.025,53.43792
9.03,54.05929
9.034,54.05929
9.039,52.81655
9.044,52.81655
9.049,53.43792
9.054,54.05929
9.059,54.05929
9.063,52.81655
9.068,53.43792
9.073,53.43792
9.078,54.05929
9.083,54.05929
9.089,54.05929
9.093,52.81655
9.098,52.81655
9.103,53.43792
9.108,53.43792
9.113,54.05929
9.117,52.81655
9.122,52.81655
9.127,53.43792
9.132,52.81655
9.137,52.81655
9.141,53.43792
9.146,53.43792
9.151,54.05929
9.156,52.81655
9.161,52.81655
9.166,53.43792
9.171,54.05929
9.176,54.05929
9.181,52.81655
9.186,52.81655
9.191,53.43792
9.196,54.05929
9.201,54.05929
9.206,52.81655
9.211,53.43792
9.215,53.43792
9.22,54.05929
9.225,52.81655
9.23,52.81655
9.235,53.43792
9.24,53.43792
9.244,54.05929
9.249,52.81655
9.254,52.81655
9.259,52.19518
9.264,52.19518
9.269,53.43792
9.273,54.05929
9.278,54.05929
9.284,52.81655
9.289,53.43792
9.293,53.43792
9.298,54.05929
9.303,54.05929
9.308,54.05929
9.313,54.05929
9.318,54.05929
9.322,54.05929
9.327,54.05929
9.332,54.05929
9.337,54.05929
9.342,54.05929
9.346,54.05929
9.351,55.30204
9.356,55.30204
9.361,54.68066
9.366,54.68066
9.37,54.05929
9.375,55.30204
9.381,55.30204
9.385,54.68066
9.39,55.30204
9.395,55.30204
9.4,54.68066
9.405,54.68066
9.409,55.30204
9.414,54.68066
9.419,54.68066
9.424,54.05929
9.429,54.05929
9.433,54.05929
9.438,52.81655
9.443,52.81655
9.448,53.43792
9.453,54.05929
9.457,54.05929
9.462,52.81655
9.467,52.81655
9.472,53.43792
9.478,54.05929
9.483,54.05929
9.487,54.05929
9.492,54.05929
9.498,54.05929
9.502,54.05929
9.507,54.05929
9.512,54.05929
9.517,54.05929
9.522,54.05929
9.526,52.81655
9.531,53.43792
9.536,53.43792
9.541,54.05929
9.546,54.05929
9.551,52.81655
9.555,53.43792
9.56,53.43792
9.565,54.05929
9.57,54.05929
9.575,54.05929
9.58,54.05929
9.585,54.05929
9.59,54.05929
9.595,54.05929
9.599,54.05929
9.604,54.05929
9.609,54.05929
9.614,55.30204
9.619,54.68066
9.623,54.68066
9.628,55.30204
9.633,54.68066
9.638,54.68066
9.643,55.30204
9.647,55.30204
9.652,54.68066
9.657,54.05929
9.662,54.05929
9.667,54.05929
9.672,54.05929
9.677,54.05929
9.682,54.05929
9.687,54.05929
9.691,54.05929
9.702,52.81655
9.707,53.43792
9.711,53.43792
9.716,52.81655
9.721,53.43792
9.726,53.43792
9.731,52.81655
9.735,53.43792
9.74,53.43792
9.745,54.05929
9.75,54.05929
9.755,52.81655
9.759,53.43792
9.764,53.43792
9.769,54.05929
9.775,54.05929
9.779,52.81655
9.784,53.43792
9.789,53.43792
9.794,52.81655
9.799,53.43792
9.803,53.43792
9.808,54.05929
9.813,54.05929
9.818,52.81655
9.823,53.43792
9.827,53.43792
9.832,54.05929
9.837,54.05929
9.842,54.05929
9.847,54.05929
9.851,54.05929
9.856,54.05929
9.861,54.05929
9.866,54.05929
9.871,54.05929
9.876,54.05929
9.881,52.81655
9.886,53.43792
9.891,53.43792
9.895,54.05929
9.9,54.05929
9.905,54.05929
9.91,54.05929
9.915,54.05929
9.919,54.05929
9.924,54.05929
9.929,54.05929
9.934,55.30204
9.939,55.30204
9.943,54.68066
9.948,54.05929
9.953,54.05929
9.958,54.05929
9.963,54.05929
9.968,54.05929
9.973,54.05929
9.978,54.05929
9.983,54.05929
9.987,54.05929
9.992,54.05929
9.997,54.05929
10.002,54.05929
10.007,52.81655
10.011,53.43792
10.016,53.43792
10.021,54.05929
10.026,54.05929
10.031,52.81655
10.035,53.43792
10.04,53.43792
10.045,54.05929
10.05,52.81655
10.055,52.81655
10.06,53.43792
10.066,54.05929
10.07,54.05929
10.075,52.81655
10.08,52.81655
10.085,53.43792
10.09,52.81655
10.094,52.81655
10.099,53.43792
10.104,53.43792
10.109,54.05929
10.114,54.05929
10.119,54.05929
10.123,54.05929
10.128,54.05929
10.133,54.05929
10.138,54.05929
10.143,54.05929
10.147,54.05929
10.152,54.05929
10.157,54.05929
10.163,54.05929
10.167,54.05929
10.172,54.05929
10.177,54.05929
10.182,54.05929
10.187,54.05929
10.191,54.05929
10.196,54.05929
10.201,54.05929
10.206,54.05929
10.211,54.05929
10.215,54.05929
10.22,54.05929
10.225,54.05929
10.23,54.05929
10.235,54.05929
10.239,54.05929
10.244,54.05929
10.249,54.05929
10.254,54.05929
10.259,54.05929
10.264,54.05929
10.269,54.05929
10.274,54.05929
10.279,55.30204
10.284,55.30204
10.288,54.68066
10.293,54.68066
10.298,54.05929
10.303,55.30204
10.308,55.30204
10.312,54.68066
10.317,54.05929
10.322,54.05929
10.327,55.30204
10.332,55.30204
10.336,54.68066
10.341,54.05929
10.346,54.05929
10.351,54.05929
10.356,55.30204
10.361,55.30204
10.366,54.68066
10.371,54.68066
10.376,54.05929
10.38,55.30204
10.385,55.30204
10.39,54.68066
10.395,54.68066
10.4,54.05929
10.404,55.30204
10.409,55.30204
10.414,54.68066
10.419,54.68066
10.424,54.05929
10.428,55.30204
10.433,55.30204
10.438,54.68066
10.443,54.05929
10.448,54.05929
10.453,55.30204
10.458,54.68066
10.463,54.68066
10.468,54.05929
10.472,54.05929
10.477,55.30204
10.482,54.68066
10.487,54.68066
10.492,54.05929
10.496,54.05929
10.502,55.30204
10.506,54.68066
10.511,54.68066
10.516,54.05929
10.521,54.05929
10.525,55.30204
10.53,54.68066
10.535,54.68066
10.54,55.30204
10.545,54.68066
10.551,54.68066
10.555,55.30204
10.56,54.68066
10.565,54.68066
10.57,55.30204
10.575,55.30204
10.58,54.68066
10.584,54.05929
10.589,54.05929
10.594,54.05929
10.599,54.05929
10.604,52.81655
10.608,53.43792
10.613,53.43792
10.618,52.81655
10.623,52.81655
10.628,53.43792
10.632,52.81655
10.637,52.81655
10.642,52.19518
10.648,50.95244
10.653,50.95244
10.658,51.57381
10.663,52.19518
10.667,52.19518
10.672,50.95244
10.677,50.95244
10.682,51.57381
10.687,50.95244
10.691,50.95244
10.696,50.33107
10.701,50.33107
10.706,51.57381
10.711,50.95244
10.716,50.95244
10.72,51.57381
10.725,50.95244
10.73,50.95244
10.735,51.57381
10.74,51.57381
10.745,52.19518
10.75,53.43792
10.755,53.43792
10.76,52.81655
10.765,52.19518
10.769,52.19518
10.774,53.43792
10.779,53.43792
10.784,52.81655
10.788,53.43792
10.793,53.43792
10.798,54.05929
10.803,54.05929
10.808,52.81655
10.812,53.43792
10.817,53.43792
10.822,54.05929
10.827,54.05929
10.832,52.81655
10.837,53.43792
10.842,54.05929
10.847,54.05929
10.852,54.05929
10.857,54.05929
10.862,54.05929
10.867,55.30204
10.872,55.30204
10.876,54.68066
10.881,54.68066
10.886,54.05929
10.891,55.30204
10.896,55.30204
10.9,54.68066
10.905,54.68066
10.91,54.05929
10.915,54.05929
10.92,54.05929
10.924,54.05929
10.929,54.05929
10.934,54.05929
10.94,52.81655
10.945,53.43792
10.949,53.43792
10.954,52.81655
10.959,52.81655
10.964,52.19518
10.969,53.43792
10.974,53.43792
10.978,52.81655
10.983,52.81655
10.988,50.95244
10.993,51.57381
10.997,51.57381
11.002,52.19518
11.007,52.19518
11.012,50.95244
11.017,51.57381
11.022,51.57381
11.027,50.95244
11.032,51.57381
11.037,51.57381
11.042,52.19518
11.047,50.95244
11.051,50.95244
11.056,51.57381
11.061,51.57381
11.066,52.19518
11.071,52.19518
11.075,52.19518
11.08,52.19518
11.085,52.19518
11.09,52.19518
11.095,52.19518
11.1,52.19518
11.104,52.19518
11.109,52.19518
11.114,52.19518
11.119,52.19518
11.124,52.19518
11.128,52.19518
11.134,52.19518
11.139,52.19518
11.143,52.19518
11.148,50.95244
11.153,50.95244
11.158,51.57381
11.163,51.57381
11.168,52.19518
11.172,50.95244
11.177,50.95244
11.182,51.57381
11.187,51.57381
11.192,52.19518
11.196,50.95244
11.201,50.95244
11.206,51.57381
11.211,51.57381
11.216,52.19518
11.22,50.95244
11.225,50.95244
11.231,51.57381
11.236,52.19518
11.241,52.19518
11.245,52.19518
11.25,52.19518
11.255,52.19518
11.26,53.43792
11.265,53.43792
11.269,52.81655
11.274,53.43792
11.279,53.43792
11.284,54.05929
11.289,54.05929
11.293,54.05929
11.298,54.05929
11.303,54.05929
11.308,54.05929
11.313,54.05929
11.317,54.05929
11.322,55.30204
11.328,55.30204
11.333,54.68066
11.337,54.05929
11.342,54.05929
11.347,55.30204
11.352,55.30204
11.357,54.68066
11.361,54.05929
11.366,54.05929
11.371,55.30204
11.376,54.68066
11.381,54.68066
11.385,54.05929
11.39,54.05929
11.395,55.30204
11.4,54.68066
11.405,54.68066
11.409,54.05929
11.414,54.05929
11.419,55.30204
11.425,55.92341
11.429,55.92341
11.434,54.68066
11.439,54.68066
11.444,55.30204
11.449,57.16615
11.453,57.16615
11.458,56.54478
11.463,55.92341
11.468,55.92341
11.473,55.92341
11.477,55.92341
11.482,55.92341
11.487,57.16615
11.492,57.16615
11.497,56.54478
11.501,55.92341
11.506,55.92341
11.511,55.92341
11.516,55.92341
11.521,55.92341
11.526,54.68066
11.531,54.68066
11.536,54.05929
11.541,54.05929
11.546,54.05929
11.55,52.81655
11.556,52.81655
11.56,53.43792
11.565,52.81655
11.57,52.81655
11.575,52.19518
11.58,52.19518
11.584,53.43792
11.589,52.81655
11.594,52.81655
11.599,52.19518
11.604,53.43792
11.608,53.43792
11.613,52.81655
11.619,52.81655
11.624,53.43792
11.628,52.81655
11.633,52.81655
11.638,52.19518
11.643,52.19518
11.648,53.43792
11.652,52.81655
11.657,52.81655
11.662,52.19518
11.667,52.19518
11.672,52.19518
11.676,52.19518
11.681,52.19518
11.686,52.19518
11.691,52.19518
11.696,52.19518
11.7,52.19518
11.705,52.19518
11.71,50.95244
11.716,51.57381
11.72,51.57381
11.725,50.95244
11.73,50.95244
11.735,51.57381
11.74,50.95244
11.745,50.95244
11.749,50.33107
11.754,51.57381
11.759,51.57381
11.764,50.95244
11.769,51.57381
11.773,51.57381
11.779,50.95244
11.784,50.95244
11.788,50.33107
11.793,51.57381
11.798,51.57381
11.803,50.95244
11.808,50.95244
11.813,50.33107
11.818,51.57381
11.823,51.57381
11.828,50.95244
11.833,50.33107
11.838,50.33107
11.843,50.33107
11.848,51.57381
11.852,51.57381
11.857,50.95244
11.862,50.95244
11.867,50.33107
11.872,50.33107
11.877,50.33107
11.881,51.57381
11.886,50.95244
11.891,50.95244
11.896,50.33107
11.901,50.33107
11.905,50.33107
11.911,50.33107
11.916,50.33107
11.921,51.57381
11.926,51.57381
11.93,50.95244
11.935,50.33107
11.94,50.33107
11.945,50.33107
11.95,50.33107
11.954,50.33107
11.959,50.33107
11.964,50.33107
11.969,50.33107
11.974,50.33107
11.979,50.33107
11.983,50.33107
11.988,50.33107
11.993,50.33107
11.998,50.33107
12.003,50.33107
12.009,50.33107
12.013,50.33107
12.018,50.33107
12.023,49.08833
12.028,49.70969
12.033,49.70969
12.038,49.08833
12.043,49.08833
12.048,49.70969
12.053,49.08833
12.057,49.08833
12.062,48.46695
12.067,48.46695
12.072,48.46695
12.077,48.46695
12.082,48.46695
12.086,48.46695
12.091,48.46695
12.096,48.46695
12.101,48.46695
12.107,48.46695
12.112,48.46695
12.117,48.46695
12.122,48.46695
12.127,48.46695
12.132,48.46695
12.137,48.46695
12.141,47.22421
12.146,47.84558
12.151,47.84558
12.156,48.46695
12.161,48.46695
12.166,47.22421
12.17,46.60284
12.175,46.60284
12.18,47.84558
12.185,47.84558
12.19,47.22421
12.194,46.60284
12.199,46.60284
12.205,47.84558
12.21,47.22421
12.214,47.22421
12.219,46.60284
12.225,46.60284
12.229,46.60284
12.234,46.60284
12.239,46.60284
12.244,46.60284
12.249,45.3601
12.253,45.3601
12.264,46.60284
12.269,46.60284
12.274,45.3601
12.279,45.98147
12.284,45.98147
12.289,45.3601
12.293,45.3601
12.298,45.98147
12.303,44.11736
12.309,44.11736
12.314,44.11736
12.319,44.11736
12.324,43.49598
12.328,44.11736
12.333,44.11736
12.338,42.25324
12.343,42.25324
12.348,42.25324
12.353,41.63187
12.358,41.0105
12.362,41.0105
12.367,41.0105
12.372,41.0105
12.377,41.0105
12.382,41.0105
12.387,41.0105
12.392,39.76776
12.396,39.76776
12.401,39.14639
12.407,39.14639
12.412,39.14639
12.416,37.90364
12.421,38.52501
12.426,38.52501
12.431,37.90364
12.436,36.03953
12.441,36.03953
12.446,36.6609
12.451,36.6609
12.456,36.03953
12.461,34.17542
12.466,34.17542
12.471,33.55404
12.476,33.55404
12.48,33.55404
12.485,31.06856
12.49,31.06856
12.495,28.58307
12.5,26.71896
12.505,26.71896
12.511,26.09759
12.515,24.85485
12.52,24.85485
12.525,22.99073
12.53,22.36936
12.534,22.36936
12.539,21.12662
12.544,21.12662
12.549,20.50525
12.554,19.26251
12.559,19.26251
12.563,18.64114
12.568,18.64114
12.573,17.39839
12.578,17.39839
12.583,16.77702
12.588,15.53428
12.593,15.53428
12.598,13.67017
12.603,13.04879
12.608,10.56331
12.613,10.56331
12.618,9.320568
12.623,9.320568
12.628,8.077826
12.633,6.213712
12.638,6.213712
12.642,5.592341
12.647,5.592341
12.652,4.349598
12.657,3.728227
12.662,3.728227
12.667,3.728227
12.672,3.728227
12.677,3.728227
12.681,3.728227
12.686,3.728227
12.691,3.728227
12.697,3.728227
12.702,3.728227
12.707,3.728227
12.712,0
12.717,0
12.722,0
12.727,0
12.732,0
12.737,0
12.741,0
12.746,0
12.751,0
12.756,0
12.761,2.485485
12.766,2.485485
12.771,2.485485
12.776,3.106856
12.781,3.106856
12.786,3.728227
12.79,2.485485
12.795,2.485485
12.801,3.106856
12.806,3.728227
12.811,3.728227
12.816,2.485485
12.821,4.349598
12.826,4.349598
12.831,5.592341
12.835,5.592341
12.84,8.077826
12.845,11.80605
12.85,11.80605
12.855,14.29154
12.86,17.39839
12.865,17.39839
12.869,19.88388
12.875,19.88388
12.88,21.74799
12.884,23.6121
12.889,23.6121
12.894,25.47622
12.9,27.34033
12.905,27.34033
12.91,29.20445
12.915,31.06856
12.92,31.06856
12.924,31.68993
12.929,31.68993
12.934,32.93267
12.939,33.55404
12.944,33.55404
12.949,34.79679
12.954,34.79679
12.959,35.41816
12.964,36.6609
12.969,36.6609
12.974,37.28227
12.978,38.52501
12.983,38.52501
12.988,39.14639
12.993,40.38913
12.999,40.38913
13.004,41.0105
13.009,41.0105
13.014,41.0105
13.019,42.25324
13.023,42.25324
13.028,42.87461
13.033,44.11736
13.038,44.11736
13.043,44.73873
13.048,44.73873
13.053,44.73873
13.058,45.98147
13.063,45.98147
13.067,46.60284
13.072,46.60284
13.077,46.60284
13.082,46.60284
13.087,46.60284
13.092,47.84558
13.098,48.46695
13.103,48.46695
13.107,49.70969
13.112,50.33107
13.117,50.33107
13.122,50.33107
13.127,51.57381
13.132,51.57381
13.137,52.19518
13.142,52.19518
13.147,52.19518
13.151,52.19518
13.157,52.19518
13.161,52.19518
13.166,52.19518
13.171,52.19518
13.176,53.43792
13.181,53.43792
13.186,52.81655
13.191,53.43792
13.196,53.43792
13.201,54.05929
13.206,55.30204
13.211,55.30204
13.216,54.68066
13.221,55.30204
13.226,55.30204
13.23,54.68066
13.235,54.68066
13.24,55.30204
13.245,55.30204
13.25,55.92341
13.255,55.92341
13.26,55.92341
13.265,57.16615
13.269,56.54478
13.274,56.54478
13.279,57.16615
13.284,56.54478
13.289,56.54478
13.295,57.16615
13.299,57.78752
13.304,57.78752
13.309,57.78752
13.314,57.78752
13.319,57.78752
13.324,57.78752
13.329,57.78752
13.334,56.54478
13.339,55.92341
13.344,55.92341
13.349,54.68066
13.354,54.68066
13.359,54.05929
13.364,54.05929
13.369,54.05929
13.374,54.05929
13.379,52.81655
13.384,52.81655
13.388,53.43792
13.394,52.81655
13.399,52.81655
13.404,52.19518
13.409,52.19518
13.414,53.43792
13.418,52.81655
13.423,52.81655
13.428,52.19518
13.433,52.19518
13.438,52.19518
13.443,50.95244
13.448,50.95244
13.453,51.57381
13.458,52.19518
13.463,52.19518
13.467,52.19518
13.473,52.19518
13.478,50.95244
13.483,51.57381
13.488,51.57381
13.493,52.19518
13.499,50.95244
13.504,51.57381
13.508,51.57381
13.514,50.95244
13.519,50.95244
13.523,50.33107
13.528,50.33107
13.533,50.33107
13.538,50.33107
13.543,50.33107
13.548,50.33107
13.553,50.33107
13.558,50.33107
13.563,49.08833
13.567,49.70969
13.572,49.70969
13.577,50.33107
13.582,49.08833
13.587,49.08833
13.593,49.70969
13.598,49.70969
13.603,50.33107
13.608,50.33107
13.613,50.33107
13.618,50.33107
13.623,50.33107
13.627,50.33107
13.632,50.33107
13.637,50.33107
13.642,50.33107
13.647,50.33107
13.652,50.33107
13.657,50.33107
13.662,50.33107
13.667,50.33107
13.672,50.33107
13.677,49.08833
13.682,49.08833
13.687,49.70969
13.693,49.08833
13.698,49.08833
13.703,48.46695
13.708,48.46695
13.713,48.46695
13.718,47.22421
13.722,47.22421
13.727,46.60284
13.732,46.60284
13.737,46.60284
13.742,45.3601
13.747,45.3601
13.752,45.98147
13.757,45.3601
13.762,45.3601
13.767,43.49598
13.771,44.11736
13.776,44.11736
13.781,43.49598
13.786,42.87461
13.792,42.87461
13.797,42.87461
13.802,42.87461
13.807,41.63187
13.812,41.0105
13.817,41.0105
13.822,41.0105
13.827,41.0105
13.832,41.0105
13.837,41.0105
13.842,39.76776
13.847,39.76776
13.852,39.14639
13.857,39.14639
13.862,37.90364
13.866,38.52501
13.871,38.52501
13.876,37.90364
13.881,37.28227
13.886,37.28227
13.892,36.03953
13.897,35.41816
13.902,35.41816
13.907,35.41816
13.912,34.17542
13.917,34.17542
13.922,33.55404
13.927,33.55404
13.932,31.06856
13.937,28.58307
13.942,28.58307
13.946,27.9617
13.951,26.71896
13.956,26.71896
13.962,24.85485
13.966,22.99073
13.971,22.99073
13.976,22.36936
13.981,22.36936
13.986,22.36936
13.992,21.12662
13.996,21.12662
14.002,21.74799
14.007,21.12662
14.012,21.12662
14.017,20.50525
14.022,21.74799
14.026,21.74799
14.031,22.36936
14.036,22.36936
14.042,21.12662
14.047,21.74799
14.052,21.74799
14.056,22.36936
14.061,22.36936
14.066,22.36936
14.071,23.6121
14.076,23.6121
14.081,22.99073
14.086,23.6121
14.092,25.47622
14.097,25.47622
14.102,24.85485
14.107,24.85485
14.112,25.47622
14.117,27.34033
14.122,27.34033
14.127,26.71896
14.132,27.34033
14.137,27.34033
14.142,27.9617
14.147,27.9617
14.152,27.9617
14.156,29.20445
14.161,29.20445
14.166,29.82582
14.171,29.82582
14.176,29.82582
14.182,29.82582
14.186,29.82582
14.192,29.82582
14.197,29.82582
14.202,29.82582
14.207,29.82582
14.212,29.82582
14.217,29.82582
14.222,29.82582
14.227,28.58307
14.232,28.58307
14.237,27.9617
14.242,27.9617
14.246,26.71896
14.251,24.85485
14.256,24.85485
14.261,24.23348
14.266,24.23348
14.271,24.23348
14.276,22.99073
14.281,22.36936
14.286,22.36936
14.292,21.12662
14.297,21.12662
14.302,20.50525
14.307,21.74799
14.312,21.74799
14.317,21.12662
14.321,21.74799
14.326,21.74799
14.331,23.6121
14.336,24.23348
14.341,24.23348
14.346,26.71896
14.351,27.9617
14.356,27.9617
14.361,30.44719
14.366,30.44719
14.371,31.68993
14.376,34.17542
14.381,34.17542
14.386,35.41816
14.392,36.6609
14.397,36.6609
14.402,39.76776
14.407,41.0105
14.411,41.0105
14.416,42.25324
14.422,42.25324
14.426,42.87461
14.432,45.3601
14.437,45.3601
14.442,45.3601
14.447,47.22421
14.452,47.22421
14.456,48.46695
14.461,48.46695
14.466,48.46695
14.471,49.70969
14.476,49.70969
14.481,51.57381
14.486,50.95244
14.492,50.95244
14.497,51.57381
14.502,53.43792
14.507,53.43792
14.511,54.05929
14.516,54.05929
14.521,54.05929
14.526,55.30204
14.531,55.30204
14.536,55.92341
14.542,55.92341
14.547,55.92341
14.552,54.68066
14.556,55.30204
14.561,55.30204
14.566,54.68066
14.571,54.68066
14.576,52.81655
14.581,53.43792
14.586,53.43792
14.592,52.81655
14.597,53.43792
14.601,53.43792
14.607,52.81655
14.612,50.95244
14.617,50.95244
14.622,51.57381
14.627,51.57381
14.631,52.19518
14.637,52.19518
14.642,52.19518
14.647,52.19518
14.652,52.19518
14.657,52.19518
14.662,53.43792
14.667,54.05929
14.671,54.05929
14.676,52.81655
14.681,53.43792
14.686,53.43792
14.692,54.05929
14.697,54.05929
14.702,54.05929
14.707,52.81655
14.712,52.81655
14.716,53.43792
14.721,54.05929
14.726,54.05929
14.731,52.81655
14.736,53.43792
14.742,53.43792
14.747,54.05929
14.751,54.05929
14.756,52.81655
14.761,53.43792
14.766,53.43792
14.771,54.05929
14.776,52.81655
14.781,52.81655
14.786,53.43792
14.792,54.05929
14.796,54.05929
14.802,52.81655
14.807,52.81655
14.811,53.43792
14.816,54.05929
14.821,54.05929
14.826,52.81655
14.831,53.43792
14.836,53.43792
14.841,54.05929
14.845,54.05929
14.851,52.81655
14.855,53.43792
14.86,53.43792
14.865,54.05929
14.87,52.81655
14.875,52.81655
14.88,53.43792
14.885,53.43792
14.891,54.05929
14.895,52.81655
14.9,52.81655
14.905,53.43792
14.91,54.05929
14.915,54.05929
14.92,54.05929
14.925,52.81655
14.93,52.81655
14.934,53.43792
14.939,53.43792
14.944,54.05929
14.949,52.81655
14.954,52.81655
14.959,53.43792
14.964,54.05929
14.968,54.05929
14.973,52.81655
14.978,52.81655
14.983,53.43792
14.989,54.05929
14.994,54.05929
14.999,52.81655
15.004,53.43792
15.009,53.43792
15.014,52.81655
15.019,53.43792
15.024,53.43792
15.029,52.81655
15.034,52.81655
15.038,52.19518
15.043,53.43792
15.048,53.43792
15.053,52.81655
15.058,52.19518
15.063,52.19518
15.068,53.43792
15.073,53.43792
15.078,52.81655
15.083,53.43792
15.089,53.43792
15.094,52.81655
15.098,53.43792
15.103,53.43792
15.108,54.05929
15.113,54.05929
15.118,54.05929
15.122,52.81655
15.127,52.81655
15.133,53.43792
15.138,54.05929
15.143,54.05929
15.148,52.81655
15.153,53.43792
15.157,53.43792
15.162,54.05929
15.167,52.81655
15.172,52.81655
15.177,53.43792
15.182,53.43792
15.188,54.05929
15.193,52.81655
15.198,52.81655
15.202,53.43792
15.207,54.05929
15.212,54.05929
15.217,52.81655
15.222,53.43792
15.227,53.43792
15.232,54.05929
15.237,54.05929
15.242,52.81655
15.247,53.43792
15.252,53.43792
15.257,54.05929
15.262,54.05929
15.266,54.05929
15.272,52.81655
15.277,52.81655
15.281,53.43792
15.287,54.05929
15.292,54.05929
15.297,52.81655
15.302,53.43792
15.307,53.43792
15.312,54.05929
15.317,54.05929
15.322,52.81655
15.327,53.43792
15.332,53.43792
15.337,54.05929
15.342,52.81655
15.346,52.81655
15.352,53.43792
15.357,54.05929
15.362,54.05929
15.366,52.81655
15.372,52.81655
15.376,53.43792
15.381,52.81655
15.387,52.81655
15.392,53.43792
15.397,54.05929
15.402,54.05929
15.407,52.81655
15.412,53.43792
15.417,53.43792
15.422,54.05929
15.427,52.81655
15.432,52.81655
15.437,53.43792
15.443,53.43792
15.448,54.05929
15.453,52.81655
15.458,52.81655
15.462,53.43792
15.467,54.05929
15.472,54.05929
15.477,52.81655
15.482,53.43792
15.488,53.43792
15.493,54.05929
15.497,54.05929
15.502,52.81655
15.507,53.43792
15.512,53.43792
15.517,54.05929
15.522,54.05929
15.527,54.05929
15.532,52.81655
15.537,53.43792
15.542,53.43792
15.547,54.05929
15.552,54.05929
15.557,52.81655
15.562,53.43792
15.566,53.43792
15.572,54.05929
15.576,54.05929
15.581,52.81655
15.587,53.43792
15.592,53.43792
15.597,54.05929
15.602,52.81655
15.606,52.81655
15.611,53.43792
15.616,54.05929
15.621,54.05929
15.626,52.81655
15.631,53.43792
15.636,53.43792
15.641,54.05929
15.646,54.05929
15.65,52.81655
